Result Number,Widget,Data Source,Result Row,Source Page URL,Rawdate,Date parsed,Incident site,Jiv date raw,Jiv date parsed,Terrain,Cause,Est spill vol bbl,Cleanup status,Comments,Photo,Photo url,Jiv report,Jiv report url
1,shell_ng_spill_crawler,shell_ng_spill_crawler,1,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,1-Mar-12,1330560000000,36" Rumuekpe - Nkpoku Pipeline at Omuigwe-Aluu,2-Mar-12,1330646400000,Land,Sabotage / Theft,291.3,Recovery of spilled volume commenced on 2nd March 2012 and was completed on 5th March 2012. Initial cleanup of residual impacted area commenced on 23rd April 2012 and was completed on 5th May 2012. Site remediation was completed 7th July 2012.,Site Certification was completed on 29th August 2012.,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/784201_36in_Rumuekpe-Nkpoku_pipeline_at_Omuigwe-Aluu_Photos.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/784201_36in_Rumuekpe-Nkpoku_pipeline_at_Omuigwe-Aluu_Photos.pdf">PDF</a>,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/784201_36in_Rumuekpe-Nkpoku_pipeline_at_Omuigwe-Aluu_JIV.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/784201_36in_Rumuekpe-Nkpoku_pipeline_at_Omuigwe-Aluu_JIV.pdf">PDF</a>
2,shell_ng_spill_crawler,shell_ng_spill_crawler,2,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,8-Mar-12,1331164800000,24" Nkpoku - Bomu Trunkline at Egballor,9-Mar-12,1331251200000,Land,Sabotage / Theft,0.2,No recoverable oil was found on site.,JIV recommends no cleanup action required. Closed. Site Certification was completed on 3rd May 2012.,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787065_24in_Nkpoku-Bomu_pipeline_at_Egballor_Photos.pdf,<a target="_blank" href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787065_24in_Nkpoku-Bomu_pipeline_at_Egballor_Photos.pdf">PDF</a>,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787065_24in_Nkpoku-Bomu_pipeline_at_Egballor_JIV.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787065_24in_Nkpoku-Bomu_pipeline_at_Egballor_JIV.pdf">PDF</a>
3,shell_ng_spill_crawler,shell_ng_spill_crawler,3,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,12-Mar-12,1331510400000,36" Rumuekpe - Nkpoku Trunkline at Mbodo-Aluu,13-Mar-12,1331596800000,Land,Sabotage / Theft,52.8,Recovery of spilled volume was completed on 13th March 2012. Initial cleanup of residual impacted area commenced on 23rd April 2012 and was completed on 5th May 2012. Site remediation was completed 7th July 2012.,Site Certification was completed on 29th August 2012.,http://s06.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787833_36in_Rumuekpe-Nkpoku_pipeline_at_Mbodo-Aluu_Photos.pdf,<a target="_blank" href="http://s06.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787833_36in_Rumuekpe-Nkpoku_pipeline_at_Mbodo-Aluu_Photos.pdf">PDF</a>,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787833_36in_Rumuekpe-Nkpoku_pipeline_at_Mbodo-Aluu_JIV.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787833_36in_Rumuekpe-Nkpoku_pipeline_at_Mbodo-Aluu_JIV.pdf">PDF</a>
4,shell_ng_spill_crawler,shell_ng_spill_crawler,4,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,13-Mar-12,1331596800000,8" Nkali pipeline at Odagwa,15-Mar-12,1331769600000,Land,Sabotage / Theft,0.67,Recovery of spilled volume was completed on 15th March 2012. Initial cleanup of residual impacted area commenced on 3rd April 2012 and was completed on 23rd April 2012. Remediation was completed on 17th August 2012.,Site certification was completed on 15th October 2012.,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788449_8in_Nkali_pipeline_at_Odagwa_Photos.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788449_8in_Nkali_pipeline_at_Odagwa_Photos.pdf">PDF</a>,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788449_8inch_Nkali_pipeline_at_Odagwa_JIV_Report.pdf,<a target="_blank" href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788449_8inch_Nkali_pipeline_at_Odagwa_JIV_Report.pdf">PDF</a>
5,shell_ng_spill_crawler,shell_ng_spill_crawler,5,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,13-Mar-12,1331596800000,16" Nun-River - Kolo Creek Trunkline at Oporoma,20-Mar-12,1332201600000,Swamp,Sabotage / Theft,344.8,Recovery of spilled volume commenced on 20th March 2012. Initial Cleanup of residual impacted area was completed on 15th May 2012.,On 29th April 2012 prior to completion of oil recovery a fire was started at the site by unknown persons. Site certification completed on 13th March 2013. Initial delays due to flooding.,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788815_16in_NunRiver-Kolocreek_pipeline_at_Oporoma_Photos.pdf,<a target="_blank" href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788815_16in_NunRiver-Kolocreek_pipeline_at_Oporoma_Photos.pdf">PDF</a>,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788815_16in_NunRiver-Kolocreek_pipeline_at_Oporoma_JIV.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788815_16in_NunRiver-Kolocreek_pipeline_at_Oporoma_JIV.pdf">PDF</a>
6,shell_ng_spill_crawler,shell_ng_spill_crawler,6,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,16-Mar-12,1331856000000,16’’ Nun River-Kolocreek Trunkline at Angiama-Gbeni,17-Mar-12,1331942400000,Swamp,Sabotage / Theft,74,Recovery of spilled volume commenced on 17th March 2012 and was completed on 2nd May 2012. Initial Cleanup of residual impacted area was completed on 17th May 2012.,Site certification was completed on 19th September 2012.,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789470_16in_NunRiver-Kolocreek_trunkline_at_Angiama-Gbeni_Photos.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789470_16in_NunRiver-Kolocreek_trunkline_at_Angiama-Gbeni_Photos.pdf">PDF</a>,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789470_16in_NunRiver-Kolocreek_trunkline_at_Angiama-Gbeni_JIV.pdf,<a target="_blank" href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789470_16in_NunRiver-Kolocreek_trunkline_at_Angiama-Gbeni_JIV.pdf">PDF</a>
7,shell_ng_spill_crawler,shell_ng_spill_crawler,7,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,16-Mar-12,1331856000000,8" Isimiri - Imo Gate delivery line at Isimiri.,20-Mar-12,1332201600000,Land,Sabotage / Theft,14,Recovery of spilled volume was completed on 20th March 2012. Initial cleanup of residual impacted area commenced on 3rd April 2012 and was completed on 23rd April 2012,Site Certification was completed on 13th August 2012.,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789675_8in_Isimiri_pipeline_at_Obiakpu_Photos.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789675_8in_Isimiri_pipeline_at_Obiakpu_Photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789675_8in_Isimiri_pipeline_at_Obiakpu_JIV_Report.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789675_8in_Isimiri_pipeline_at_Obiakpu_JIV_Report.pdf">PDF</a>
8,shell_ng_spill_crawler,shell_ng_spill_crawler,8,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,22-Mar-12,1332374400000,12" Kokori-Eriemu Delivery line at Oteri/Agbarha.,22-Mar-12,1332374400000,Land,Sabotage / Theft,306.1,Recovery of spilled volume commenced on 22nd March 2012 and was completed 26th March 2012. Initial cleanup of residual impacted area commenced on 9th April 2012 and was completed on 30th April 2012,Site certification was completed on 4th May 2012.,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/791732_12in_Kokori-Eriemu_deliveryline_at_Oteri_Photos.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/791732_12in_Kokori-Eriemu_deliveryline_at_Oteri_Photos.pdf">PDF</a>,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/791732_12in_Kokori-Eriemu_deliveryline_at_Oteri_JIV.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/791732_12in_Kokori-Eriemu_deliveryline_at_Oteri_JIV.pdf">PDF</a>
9,shell_ng_spill_crawler,shell_ng_spill_crawler,9,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,23-Mar-12,1332460800000,Utorogu Well 21S,02-Apr-12,1333321200000,Land,Sabotage / Theft,1.3,No recoverable oil was found on site Initial cleanup of residual impacted area commenced on 12th April 2012 and was completed 30th May 2012,Initial cleanup was delayed due to community agitation over the cleanup contract. Issue was subsequently resolved. Site certification was completed on 1st August 2012.,http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792975_UtoroguWell21S_at_Otor-Udu_Photos.pdf,<a target="_blank" href="http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792975_UtoroguWell21S_at_Otor-Udu_Photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792975_UtoroguWell21S_at_Otor-Udu_JIV.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792975_UtoroguWell21S_at_Otor-Udu_JIV.pdf">PDF</a>
10,shell_ng_spill_crawler,shell_ng_spill_crawler,10,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,26-Mar-12,1332716400000,24" Bomu - Bonny Pipeline at Mogho,28-Mar-12,1332889200000,Land,Sabotage / Theft,1.3,No recoverable oil was found on site. Initial cleanup of residual impacted area was completed on 28th March 2012. Remediation was completed on 12th September 2012.,Site certification was completed on 10th October 2012.,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792943_24in_Bomu-Bonny_pipeline_at_Mogho_Photos.pdf,<a target="_blank" href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792943_24in_Bomu-Bonny_pipeline_at_Mogho_Photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792943_24in_Bomu-Bonny_pipeline_at_Mogho_JIV.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792943_24in_Bomu-Bonny_pipeline_at_Mogho_JIV.pdf">PDF</a>
11,shell_ng_spill_crawler,shell_ng_spill_crawler,11,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,26-Mar-12,1332716400000,24" Nkpoku - Bomu Trunkline at Bera,27-Mar-12,1332802800000,Land,Sabotage / Theft,2.1,Recovery of spilled volume was completed on 27th March 2012. Initial cleanup of residual impacted area was completed on 2nd August 2012. Remediation was completed on 19th September 2012.,Site certification was completed on 10th October 2012.,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/793032_24in_Nkpoku-Bomu_pipeline_at_Bera_Photos.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/793032_24in_Nkpoku-Bomu_pipeline_at_Bera_Photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/793032_24in_Nkpoku-Bomu_pipeline_at_Bera_JIV.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/793032_24in_Nkpoku-Bomu_pipeline_at_Bera_JIV.pdf">PDF</a>
12,shell_ng_spill_crawler,shell_ng_spill_crawler,12,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,27-Mar-12,1332802800000,10” Diebu Creek delivery line at Oporoma,20-Apr-12,1334876400000,Swamp,Operational,176,Recovery of spilled volume commenced 1st April 2012 and was completed on 3rd May 2012. Initial Cleanup of residual impacted area was completed on 14th June 2012.,Site certification completed on 13th March 2013. Initial delays due to flooding.,http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/793649_10in_DiebuCreek-NunRiver_pipeline_at_Oporoma_Photos.pdf,<a target="_blank" href="http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/793649_10in_DiebuCreek-NunRiver_pipeline_at_Oporoma_Photos.pdf">PDF</a>,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/793649_10in_DiebuCreek-NunRiver_pipeline_at_Oporoma_JIV.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/793649_10in_DiebuCreek-NunRiver_pipeline_at_Oporoma_JIV.pdf">PDF</a>
13,shell_ng_spill_crawler,shell_ng_spill_crawler,13,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,28-Mar-12,1332889200000,Ubie Well 9S Flowline at Ubie,4-Apr-12,1333494000000,Land,Sabotage / Theft,1,No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 25th May 2012.,Site certification was completed on 13th August 2012.,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/794459_Ubie_Well9S_flowline_at_Idu-Ekpeye_Photos.pdf,<a target="_blank" href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/794459_Ubie_Well9S_flowline_at_Idu-Ekpeye_Photos.pdf">PDF</a>,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/794459_Ubie_Well9S_flowline_at_Idu-Ekpeye_JIV.pdf,<a target="_blank" href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/794459_Ubie_Well9S_flowline_at_Idu-Ekpeye_JIV.pdf">PDF</a>
14,shell_ng_spill_crawler,shell_ng_spill_crawler,14,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,29-Mar-12,1332975600000,8" Umuechem - Nkpoku delivery line at Umuechem,30-Mar-12,1333062000000,Land,Sabotage / Theft,9.1,Recovery of spilled volume was completed on 30th March 2012. Initial cleanup of residual impacted area was completed on 4th May 2012.,Site re-impacted by a new spill at the same location. Closed. Re-impact cleaned up per as the 8" Umuechem - Nkpoku delivery line incident at Umuechem of 20th July 2012.,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/794396_8in_Umuechem-Nkpoku_pipeline_at_Umuechem_Photos.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/794396_8in_Umuechem-Nkpoku_pipeline_at_Umuechem_Photos.pdf">PDF</a>,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/794396_8in_Umuechem-Nkpoku_pipeline_at_Umuechem_JIV.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/794396_8in_Umuechem-Nkpoku_pipeline_at_Umuechem_JIV.pdf">PDF</a>
15,shell_ng_spill_crawler,shell_ng_spill_crawler,15,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,02-Aug-12,1343862000000,24" Alakiri-Bonny GPHSL at Fusokiri,07-Aug-12,1344294000000,Swamp,Sabotage / Theft,7,No recoverable oil was found on site. Initial cleanup of residual impacted area was completed on 11th October 2012.,Site Certification now planned for January 2013.,http://s01.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850875_24in_Alakiri-Bonny_pipeline_at_Fusokiri-Ilomaturu_Photos.pdf,<a href="http://s01.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850875_24in_Alakiri-Bonny_pipeline_at_Fusokiri-Ilomaturu_Photos.pdf" target="_blank">PDF</a>,http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850875_24in_Alakiri-Bonny_pipeline_at_Fusokiri-Ilomaturu_JIV.pdf,<a href="http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850875_24in_Alakiri-Bonny_pipeline_at_Fusokiri-Ilomaturu_JIV.pdf" target="_blank">PDF</a>
16,shell_ng_spill_crawler,shell_ng_spill_crawler,16,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,03-Aug-12,1343948400000,24" Nkpoku - Bomu Trunkline at Kira,17-Aug-12,1345158000000,Land,Sabotage / Theft,242,Recovery of spilled volume commenced on 15th August 2012 and was completed 23rd December 2012,Site Certification was completed on 16th August 2013.,http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/849192_24in_Nkpoku-Bomu_pipeline_at_Kira_Photos.pdf,<a href="http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/849192_24in_Nkpoku-Bomu_pipeline_at_Kira_Photos.pdf" target="_blank">PDF</a>,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/849192_24in_Nkpoku-Bomu_pipeline_at_Kira_JIV.pdf,<a href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/849192_24in_Nkpoku-Bomu_pipeline_at_Kira_JIV.pdf" target="_blank">PDF</a>
17,shell_ng_spill_crawler,shell_ng_spill_crawler,17,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,06-Aug-12,1344207600000,36" Nkpoku-Ogale Pipeline at Akpajo,08-Aug-12,1344380400000,Land,Operational,136,Recovery of spilled volume was completed on 11th August 2012.,Initial cleanup of residual impacted area and remediation now planned for completion in March 2014. Schedule impacted by flooding during the rainy season and community contracting.,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850352_36in_Nkpoku-Ogale_pipeline_at_Akpajo_Photos.pdf,<a href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850352_36in_Nkpoku-Ogale_pipeline_at_Akpajo_Photos.pdf" target="_blank">PDF</a>,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850352_36in_Nkpoku-Ogale_pipeline_at_Akpajo_JIV.pdf,<a href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850352_36in_Nkpoku-Ogale_pipeline_at_Akpajo_JIV.pdf" target="_blank">PDF</a>
18,shell_ng_spill_crawler,shell_ng_spill_crawler,18,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,07-Aug-12,1344294000000,8" Umuechem - Nkpoku Delivery Line at Umusele,09-Aug-12,1344466800000,Land,Sabotage / Theft,22.4,Recovery of spilled volume was completed on 13th August 2012. Initial Cleanup of residual impacted area was completed on 17th September 2012.,Site Certification now planned for January 2013.,http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850357_8in_Umuechem-Nkpoku_pipeline_at_Umuesele_Photos.pdf,<a href="http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850357_8in_Umuechem-Nkpoku_pipeline_at_Umuesele_Photos.pdf" target="_blank">PDF</a>,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850357_8in_Umuechem-Nkpoku_pipeline_at_Umuesele_JIV.pdf,<a href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/850357_8in_Umuechem-Nkpoku_pipeline_at_Umuesele_JIV.pdf" target="_blank">PDF</a>
19,shell_ng_spill_crawler,shell_ng_spill_crawler,19,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,07-Aug-12,1344294000000,Imo River 1 Well 57L Flowline at Igiriukwu,09-Aug-12,1344466800000,Swamp,Sabotage / Theft,18.7,No recoverable oil was found on site.,Site re-impacted on 17th August 2012 following a new spill incident (Imo River Well 48L Flowline at Igiriukwu). Clean up action reported under the new incident entry. This incident now closed.,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/852067_ImoRiver1_Well57L_flowline_at_Igiriukwu_Photos.pdf,<a href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/852067_ImoRiver1_Well57L_flowline_at_Igiriukwu_Photos.pdf" target="_blank">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/852067_ImoRiver1_Well57L_flowline_at_Igiriukwu_JIV.pdf,<a href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/852067_ImoRiver1_Well57L_flowline_at_Igiriukwu_JIV.pdf" target="_blank">PDF</a>
20,shell_ng_spill_crawler,shell_ng_spill_crawler,20,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,13-Aug-12,1344812400000,Ubie Well 5L Flow line at Ubie,14-Aug-12,1344898800000,Land,Sabotage / Theft,3.8,No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 6th October 2012.,Remediation delayed by site flooding.,http://s06.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/852680_Ubie_Well5L_flowline_at_Idu-Ekpeye_Photos.pdf,<a href="http://s06.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/852680_Ubie_Well5L_flowline_at_Idu-Ekpeye_Photos.pdf" target="_blank">PDF</a>,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/852680_Ubie_Well5L_flowline_at_Idu-Ekpeye_JIV.pdf,<a href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/852680_Ubie_Well5L_flowline_at_Idu-Ekpeye_JIV.pdf" target="_blank">PDF</a>
21,shell_ng_spill_crawler,shell_ng_spill_crawler,21,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,15-Aug-12,1344985200000,8" Umuechem - Nkpoku Delivery Line at Umuechem,16-Aug-12,1345071600000,Land,Sabotage / Theft,33.5,Recovery of spilled volume was completed on 17th August 2012. Initial Cleanup of residual impacted area was completed on 17th September 2012.,Site Certification now planned for January 2013.,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/853566_8in_Umuechem-Nkpoku_pipeline_at_Umuechem_Photos.pdf,<a href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/853566_8in_Umuechem-Nkpoku_pipeline_at_Umuechem_Photos.pdf" target="_blank">PDF</a>,http://s01.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/853566_8in_Umuechem-Nkpoku_pipeline_at_Umuechem_JIV.pdf,<a href="http://s01.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/853566_8in_Umuechem-Nkpoku_pipeline_at_Umuechem_JIV.pdf" target="_blank">PDF</a>
22,shell_ng_spill_crawler,shell_ng_spill_crawler,22,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,16-Aug-12,1345071600000,28" Nkpoku - Bomu Trunkline at Ejamah,19-Aug-12,1345330800000,Land,Sabotage / Theft,1076,Recovery of spilled volume was completed on 23rd August 2012. Initial Cleanup of residual impacted area was completed on 31 August 2012.,Spill was caused by unauthorized 3rd party dredging activity in the area. Remediation now planned for completion in February 2013.,http://s01.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/853943_28in_Nkpoku-Bomu_pipeline_at_Ejamah-Ebubu_Photos.pdf,<a href="http://s01.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/853943_28in_Nkpoku-Bomu_pipeline_at_Ejamah-Ebubu_Photos.pdf" target="_blank">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/853943_28in_Nkpoku-Bomu_pipeline_at_Ejamah-Ebubu_JIV.pdf,<a href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/853943_28in_Nkpoku-Bomu_pipeline_at_Ejamah-Ebubu_JIV.pdf" target="_blank">PDF</a>
23,shell_ng_spill_crawler,shell_ng_spill_crawler,23,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,16-Aug-12,1345071600000,Imo River Well 44S Flow line Right of Way (ROW) behind Imo River Well 5 at Igiriukwu / Owaza,18-Aug-12,1345244400000,Land,Sabotage / Theft,76,Recovery of spilled volume recommenced on 4th September 2012 and was completed on 28th September 2012.,A second report of the same incident was received on 30th August 2012 necessitating a repeat JIV which was conducted over 3 days (1st 5th and 6th September 2012) due to difficulty in accessing the spill point. The JIV team revised the estimated Spill volume from 1.4barrels to 76 barrels. The new volume has been restated to the relevant authorities. Site Certification now planned for December 2013 due to flooding.,http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/854331_ImoRiver_Well44S_flowline_at_Igiriukwu_Photos.pdf,<a href="http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/854331_ImoRiver_Well44S_flowline_at_Igiriukwu_Photos.pdf" target="_blank">PDF</a>,http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/862158_Imo%20River%20FL%20right%20of%20Way%20behind%20Imor%20well%205%20at%20Igiriukwu_JIV.pdf,<a href="http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/862158_Imo River FL right of Way behind Imor well 5 at Igiriukwu_JIV.pdf" target="_blank">PDF</a>
24,shell_ng_spill_crawler,shell_ng_spill_crawler,24,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/august.html,17-Aug-12,1345158000000,Imo River Well 48L Flowline at Imo River,18-Aug-12,1345244400000,Land,Sabotage / Theft,32,Recovery of spilled volume commenced on 27th August 2012 and was completed on 11th September 2012. Cleanup of residual impacted area was completed on 20th April 2013.,Site certification was completed on 26th May 2013.,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/854753_ImoRiver_Well48L_flowline_at_Igiriukwu_Photos.pdf,<a href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/854753_ImoRiver_Well48L_flowline_at_Igiriukwu_Photos.pdf" target="_blank">PDF</a>,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/854753_ImoRiver_Well48L_flowline_at_Igiriukwu_JIV.pdf,<a href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/854753_ImoRiver_Well48L_flowline_at_Igiriukwu_JIV.pdf" target="_blank">PDF</a>
